point_id,connector_id,protocol,local_id,device_ref,unit,writable
BN-01-BI-003,bacnet-01,bacnet,"binaryInput,3",ahu-01,,False
BN-01-BI-004,bacnet-01,bacnet,"binaryInput,4",ahu-01,,False
BN-01-BI-005,bacnet-01,bacnet,"binaryInput,5",ahu-01,,False
BN-01-BI-006,bacnet-01,bacnet,"binaryInput,6",ahu-01,,False
BN-01-BI-007,bacnet-01,bacnet,"binaryInput,7",ahu-01,,False
BN-01-BI-008,bacnet-01,bacnet,"binaryInput,8",ahu-01,,False
BN-01-BI-009,bacnet-01,bacnet,"binaryInput,9",ahu-01,,False
BN-01-BI-010,bacnet-01,bacnet,"binaryInput,10",ahu-01,,False
BN-01-BI-011,bacnet-01,bacnet,"binaryInput,11",ahu-01,,False
BN-01-BI-012,bacnet-01,bacnet,"binaryInput,12",ahu-01,,False
BN-01-BI-013,bacnet-01,bacnet,"binaryInput,13",ahu-01,,False
BN-01-BI-014,bacnet-01,bacnet,"binaryInput,14",ahu-01,,False
BN-01-BI-015,bacnet-01,bacnet,"binaryInput,15",ahu-01,,False
BN-01-BI-016,bacnet-01,bacnet,"binaryInput,16",ahu-01,,False
BN-01-BI-017,bacnet-01,bacnet,"binaryInput,17",ahu-01,,False
BN-01-BI-018,bacnet-01,bacnet,"binaryInput,18",ahu-01,,False
BN-01-BI-019,bacnet-01,bacnet,"binaryInput,19",ahu-01,,False
BN-01-BI-020,bacnet-01,bacnet,"binaryInput,20",ahu-01,,False
BN-01-BI-021,bacnet-01,bacnet,"binaryInput,21",ahu-01,,False
BN-01-BI-022,bacnet-01,bacnet,"binaryInput,22",ahu-01,,False
BN-01-BI-023,bacnet-01,bacnet,"binaryInput,23",ahu-01,,False
BN-01-BI-024,bacnet-01,bacnet,"binaryInput,24",ahu-01,,False
BN-01-BI-025,bacnet-01,bacnet,"binaryInput,25",ahu-01,,False
BN-01-BI-026,bacnet-01,bacnet,"binaryInput,26",ahu-01,,False
BN-01-BI-027,bacnet-01,bacnet,"binaryInput,27",ahu-01,,False
BN-01-BI-028,bacnet-01,bacnet,"binaryInput,28",ahu-01,,False
BN-01-BI-029,bacnet-01,bacnet,"binaryInput,29",ahu-01,,False
BN-01-BI-030,bacnet-01,bacnet,"binaryInput,30",ahu-01,,False
BN-01-BI-031,bacnet-01,bacnet,"binaryInput,31",ahu-01,,False
BN-01-BI-032,bacnet-01,bacnet,"binaryInput,32",ahu-01,,False
BN-01-BI-033,bacnet-01,bacnet,"binaryInput,33",ahu-01,,False
BN-01-BI-034,bacnet-01,bacnet,"binaryInput,34",ahu-01,,False
BN-01-BI-035,bacnet-01,bacnet,"binaryInput,35",ahu-01,,False
BN-01-BI-036,bacnet-01,bacnet,"binaryInput,36",ahu-01,,False
BN-01-BI-037,bacnet-01,bacnet,"binaryInput,37",ahu-01,,False
BN-01-BI-038,bacnet-01,bacnet,"binaryInput,38",ahu-01,,False
BN-01-BI-039,bacnet-01,bacnet,"binaryInput,39",ahu-01,,False
BN-01-BI-040,bacnet-01,bacnet,"binaryInput,40",ahu-01,,False
BN-01-BO-001,bacnet-01,bacnet,"binaryOutput,1",ahu-01,,True
BN-01-BO-002,bacnet-01,bacnet,"binaryOutput,2",ahu-01,,True
BN-01-BO-003,bacnet-01,bacnet,"binaryOutput,3",ahu-01,,True
BN-01-BO-004,bacnet-01,bacnet,"binaryOutput,4",ahu-01,,True
BN-01-BO-005,bacnet-01,bacnet,"binaryOutput,5",ahu-01,,True
BN-01-BO-006,bacnet-01,bacnet,"binaryOutput,6",ahu-01,,True
BN-01-BO-007,bacnet-01,bacnet,"binaryOutput,7",ahu-01,,True
BN-01-BO-008,bacnet-01,bacnet,"binaryOutput,8",ahu-01,,True
BN-01-BO-009,bacnet-01,bacnet,"binaryOutput,9",ahu-01,,True
BN-01-BO-010,bacnet-01,bacnet,"binaryOutput,10",ahu-01,,True
BN-01-BO-011,bacnet-01,bacnet,"binaryOutput,11",ahu-01,,True
BN-01-BO-012,bacnet-01,bacnet,"binaryOutput,12",ahu-01,,True
BN-01-BO-013,bacnet-01,bacnet,"binaryOutput,13",ahu-01,,True
BN-01-BO-014,bacnet-01,bacnet,"binaryOutput,14",ahu-01,,True
BN-01-BO-015,bacnet-01,bacnet,"binaryOutput,15",ahu-01,,True
BN-01-BO-016,bacnet-01,bacnet,"binaryOutput,16",ahu-01,,True
BN-01-BO-017,bacnet-01,bacnet,"binaryOutput,17",ahu-01,,True
BN-01-BO-018,bacnet-01,bacnet,"binaryOutput,18",ahu-01,,True
BN-01-BO-019,bacnet-01,bacnet,"binaryOutput,19",ahu-01,,True
BN-01-BO-020,bacnet-01,bacnet,"binaryOutput,20",ahu-01,,True
BN-02-AI-001,bacnet-02,bacnet,"analogInput,1",ahu-02,degC,False
BN-02-AI-002,bacnet-02,bacnet,"analogInput,2",ahu-02,%RH,False
BN-02-AI-003,bacnet-02,bacnet,"analogInput,3",ahu-02,ppm,False
BN-02-AI-004,bacnet-02,bacnet,"analogInput,4",ahu-02,Pa,False
BN-02-AI-005,bacnet-02,bacnet,"analogInput,5",ahu-02,m3/h,False
BN-02-AI-006,bacnet-02,bacnet,"analogInput,6",ahu-02,kW,False
BN-02-AI-007,bacnet-02,bacnet,"analogInput,7",ahu-02,kWh,False
BN-02-AI-008,bacnet-02,bacnet,"analogInput,8",ahu-02,lux,False
BN-02-AI-009,bacnet-02,bacnet,"analogInput,9",ahu-02,degC,False
BN-02-AI-010,bacnet-02,bacnet,"analogInput,10",ahu-02,%RH,False
BN-02-AI-011,bacnet-02,bacnet,"analogInput,11",ahu-02,degC,False
BN-02-AI-012,bacnet-02,bacnet,"analogInput,12",ahu-02,%RH,False
BN-02-AI-013,bacnet-02,bacnet,"analogInput,13",ahu-02,ppm,False
BN-02-AI-014,bacnet-02,bacnet,"analogInput,14",ahu-02,Pa,False
BN-02-AI-015,bacnet-02,bacnet,"analogInput,15",ahu-02,m3/h,False
BN-02-AI-016,bacnet-02,bacnet,"analogInput,16",ahu-02,kW,False
BN-02-AI-017,bacnet-02,bacnet,"analogInput,17",ahu-02,kWh,False
BN-02-AI-018,bacnet-02,bacnet,"analogInput,18",ahu-02,lux,False
BN-02-AI-019,bacnet-02,bacnet,"analogInput,19",ahu-02,degC,False
BN-02-AI-020,bacnet-02,bacnet,"analogInput,20",ahu-02,%RH,False
BN-02-AI-021,bacnet-02,bacnet,"analogInput,21",ahu-02,degC,False
BN-02-AI-022,bacnet-02,bacnet,"analogInput,22",ahu-02,%RH,False
BN-02-AI-023,bacnet-02,bacnet,"analogInput,23",ahu-02,ppm,False
BN-02-AI-024,bacnet-02,bacnet,"analogInput,24",ahu-02,Pa,False
BN-02-AI-025,bacnet-02,bacnet,"analogInput,25",ahu-02,m3/h,False
BN-02-AI-026,bacnet-02,bacnet,"analogInput,26",ahu-02,kW,False
BN-02-AI-027,bacnet-02,bacnet,"analogInput,27",ahu-02,kWh,False
BN-02-AI-028,bacnet-02,bacnet,"analogInput,28",ahu-02,lux,False
BN-02-AI-029,bacnet-02,bacnet,"analogInput,29",ahu-02,degC,False
BN-02-AI-030,bacnet-02,bacnet,"analogInput,30",ahu-02,%RH,False
BN-02-AI-031,bacnet-02,bacnet,"analogInput,31",ahu-02,degC,False
BN-02-AI-032,bacnet-02,bacnet,"analogInput,32",ahu-02,%RH,False
BN-02-AI-033,bacnet-02,bacnet,"analogInput,33",ahu-02,ppm,False
BN-02-AI-034,bacnet-02,bacnet,"analogInput,34",ahu-02,Pa,False
BN-02-AI-035,bacnet-02,bacnet,"analogInput,35",ahu-02,m3/h,False
BN-02-AI-036,bacnet-02,bacnet,"analogInput,36",ahu-02,kW,False
BN-02-AI-037,bacnet-02,bacnet,"analogInput,37",ahu-02,kWh,False
BN-02-AI-038,bacnet-02,bacnet,"analogInput,38",ahu-02,lux,False
BN-02-AI-039,bacnet-02,bacnet,"analogInput,39",ahu-02,degC,False
BN-02-AI-040,bacnet-02,bacnet,"analogInput,40",ahu-02,%RH,False
BN-02-AI-041,bacnet-02,bacnet,"analogInput,41",ahu-02,degC,False
BN-02-AI-042,bacnet-02,bacnet,"analogInput,42",ahu-02,%RH,False
BN-02-AI-043,bacnet-02,bacnet,"analogInput,43",ahu-02,ppm,False
BN-02-AI-044,bacnet-02,bacnet,"analogInput,44",ahu-02,Pa,False
BN-02-AI-045,bacnet-02,bacnet,"analogInput,45",ahu-02,m3/h,False
BN-02-AI-046,bacnet-02,bacnet,"analogInput,46",ahu-02,kW,False
BN-02-AI-047,bacnet-02,bacnet,"analogInput,47",ahu-02,kWh,False
BN-02-AI-048,bacnet-02,bacnet,"analogInput,48",ahu-02,lux,False
BN-02-AI-049,bacnet-02,bacnet,"analogInput,49",ahu-02,degC,False
BN-02-AI-050,bacnet-02,bacnet,"analogInput,50",ahu-02,%RH,False
BN-02-AI-051,bacnet-02,bacnet,"analogInput,51",ahu-02,degC,False
BN-02-AI-052,bacnet-02,bacnet,"analogInput,52",ahu-02,%RH,False
BN-02-AI-053,bacnet-02,bacnet,"analogInput,53",ahu-02,ppm,False
BN-02-AI-054,bacnet-02,bacnet,"analogInput,54",ahu-02,Pa,False
BN-02-AI-055,bacnet-02,bacnet,"analogInput,55",ahu-02,m3/h,False
BN-02-AI-056,bacnet-02,bacnet,"analogInput,56",ahu-02,kW,False
BN-02-AI-057,bacnet-02,bacnet,"analogInput,57",ahu-02,kWh,False
BN-02-AI-058,bacnet-02,bacnet,"analogInput,58",ahu-02,lux,False
BN-02-AI-059,bacnet-02,bacnet,"analogInput,59",ahu-02,degC,False
BN-02-AI-060,bacnet-02,bacnet,"analogInput,60",ahu-02,%RH,False
BN-02-AI-061,bacnet-02,bacnet,"analogInput,61",ahu-02,degC,False
BN-02-AI-062,bacnet-02,bacnet,"analogInput,62",ahu-02,%RH,False
BN-02-AI-063,bacnet-02,bacnet,"analogInput,63",ahu-02,ppm,False
BN-02-AI-064,bacnet-02,bacnet,"analogInput,64",ahu-02,Pa,False
BN-02-AI-065,bacnet-02,bacnet,"analogInput,65",ahu-02,m3/h,False
BN-02-AI-066,bacnet-02,bacnet,"analogInput,66",ahu-02,kW,False
BN-02-AI-067,bacnet-02,bacnet,"analogInput,67",ahu-02,kWh,False
BN-02-AI-068,bacnet-02,bacnet,"analogInput,68",ahu-02,lux,False
BN-02-AI-069,bacnet-02,bacnet,"analogInput,69",ahu-02,degC,False
BN-02-AI-070,bacnet-02,bacnet,"analogInput,70",ahu-02,%RH,False
BN-02-AI-071,bacnet-02,bacnet,"analogInput,71",ahu-02,degC,False
BN-02-AI-072,bacnet-02,bacnet,"analogInput,72",ahu-02,%RH,False
BN-02-AI-073,bacnet-02,bacnet,"analogInput,73",ahu-02,ppm,False
BN-02-AI-074,bacnet-02,bacnet,"analogInput,74",ahu-02,Pa,False
BN-02-AI-075,bacnet-02,bacnet,"analogInput,75",ahu-02,m3/h,False
BN-02-AI-076,bacnet-02,bacnet,"analogInput,76",ahu-02,kW,False
BN-02-AI-077,bacnet-02,bacnet,"analogInput,77",ahu-02,kWh,False
BN-02-AI-078,bacnet-02,bacnet,"analogInput,78",ahu-02,lux,False
BN-02-AI-079,bacnet-02,bacnet,"analogInput,79",ahu-02,degC,False
BN-02-AI-080,bacnet-02,bacnet,"analogInput,80",ahu-02,%RH,False
BN-02-AI-081,bacnet-02,bacnet,"analogInput,81",ahu-02,degC,False
BN-02-AI-082,bacnet-02,bacnet,"analogInput,82",ahu-02,%RH,False
BN-02-AI-083,bacnet-02,bacnet,"analogInput,83",ahu-02,ppm,False
BN-02-AI-084,bacnet-02,bacnet,"analogInput,84",ahu-02,Pa,False
BN-02-AI-085,bacnet-02,bacnet,"analogInput,85",ahu-02,m3/h,False
BN-02-AI-086,bacnet-02,bacnet,"analogInput,86",ahu-02,kW,False
BN-02-AI-087,bacnet-02,bacnet,"analogInput,87",ahu-02,kWh,False
BN-02-AI-088,bacnet-02,bacnet,"analogInput,88",ahu-02,lux,False
BN-02-AI-089,bacnet-02,bacnet,"analogInput,89",ahu-02,degC,False
BN-02-AI-090,bacnet-02,bacnet,"analogInput,90",ahu-02,%RH,False
BN-02-AI-091,bacnet-02,bacnet,"analogInput,91",ahu-02,degC,False
BN-02-AI-092,bacnet-02,bacnet,"analogInput,92",ahu-02,%RH,False
BN-02-AI-093,bacnet-02,bacnet,"analogInput,93",ahu-02,ppm,False
BN-02-AI-094,bacnet-02,bacnet,"analogInput,94",ahu-02,Pa,False
BN-02-AI-095,bacnet-02,bacnet,"analogInput,95",ahu-02,m3/h,False
BN-02-AI-096,bacnet-02,bacnet,"analogInput,96",ahu-02,kW,False
BN-02-AI-097,bacnet-02,bacnet,"analogInput,97",ahu-02,kWh,False
BN-02-AI-098,bacnet-02,bacnet,"analogInput,98",ahu-02,lux,False
BN-02-AI-099,bacnet-02,bacnet,"analogInput,99",ahu-02,degC,False
BN-02-AI-100,bacnet-02,bacnet,"analogInput,100",ahu-02,%RH,False
BN-02-AO-001,bacnet-02,bacnet,"analogOutput,1",ahu-02,degC,True
BN-02-AO-002,bacnet-02,bacnet,"analogOutput,2",ahu-02,%,True
BN-02-AO-003,bacnet-02,bacnet,"analogOutput,3",ahu-02,Pa,True
BN-02-AO-004,bacnet-02,bacnet,"analogOutput,4",ahu-02,m3/h,True
BN-02-AO-005,bacnet-02,bacnet,"analogOutput,5",ahu-02,kW,True
BN-02-AO-006,bacnet-02,bacnet,"analogOutput,6",ahu-02,degC,True
BN-02-AO-007,bacnet-02,bacnet,"analogOutput,7",ahu-02,%,True
BN-02-AO-008,bacnet-02,bacnet,"analogOutput,8",ahu-02,Pa,True
BN-02-AO-009,bacnet-02,bacnet,"analogOutput,9",ahu-02,m3/h,True
BN-02-AO-010,bacnet-02,bacnet,"analogOutput,10",ahu-02,kW,True
BN-02-AO-011,bacnet-02,bacnet,"analogOutput,11",ahu-02,degC,True
BN-02-AO-012,bacnet-02,bacnet,"analogOutput,12",ahu-02,%,True
BN-02-AO-013,bacnet-02,bacnet,"analogOutput,13",ahu-02,Pa,True
BN-02-AO-014,bacnet-02,bacnet,"analogOutput,14",ahu-02,m3/h,True
BN-02-AO-015,bacnet-02,bacnet,"analogOutput,15",ahu-02,kW,True
BN-02-AO-016,bacnet-02,bacnet,"analogOutput,16",ahu-02,degC,True
BN-02-AO-017,bacnet-02,bacnet,"analogOutput,17",ahu-02,%,True
BN-02-AO-018,bacnet-02,bacnet,"analogOutput,18",ahu-02,Pa,True
BN-02-AO-019,bacnet-02,bacnet,"analogOutput,19",ahu-02,m3/h,True
BN-02-AO-020,bacnet-02,bacnet,"analogOutput,20",ahu-02,kW,True
BN-02-AO-021,bacnet-02,bacnet,"analogOutput,21",ahu-02,degC,True
BN-02-AO-022,bacnet-02,bacnet,"analogOutput,22",ahu-02,%,True
BN-02-AO-023,bacnet-02,bacnet,"analogOutput,23",ahu-02,Pa,True
BN-02-AO-024,bacnet-02,bacnet,"analogOutput,24",ahu-02,m3/h,True
BN-02-AO-025,bacnet-02,bacnet,"analogOutput,25",ahu-02,kW,True
BN-02-AO-026,bacnet-02,bacnet,"analogOutput,26",ahu-02,degC,True
BN-02-AO-027,bacnet-02,bacnet,"analogOutput,27",ahu-02,%,True
BN-02-AO-028,bacnet-02,bacnet,"analogOutput,28",ahu-02,Pa,True
BN-02-AO-029,bacnet-02,bacnet,"analogOutput,29",ahu-02,m3/h,True
BN-02-AO-030,bacnet-02,bacnet,"analogOutput,30",ahu-02,kW,True
BN-02-AO-031,bacnet-02,bacnet,"analogOutput,31",ahu-02,degC,True
BN-02-AO-032,bacnet-02,bacnet,"analogOutput,32",ahu-02,%,True
BN-02-AO-033,bacnet-02,bacnet,"analogOutput,33",ahu-02,Pa,True
BN-02-AO-034,bacnet-02,bacnet,"analogOutput,34",ahu-02,m3/h,True
BN-02-AO-035,bacnet-02,bacnet,"analogOutput,35",ahu-02,kW,True
